id,medallion, hack_license, vendor_id, pickup_datetime, payment_type, fare_amount, surcharge, mta_tax, tip_amount, tolls_amount, total_amount
0,2013000001,2013000001,VTS,2013-01-01 00:00:00,CSH,20.5,0.5,0.5,0.0,0.0,21.5
1,2013000002,2013000002,VTS,2013-01-01 00:00:00,CSH,6.0,0.5,0.5,0.0,0.0,7.0
2,2013000003,2013000003,VTS,2013-01-01 00:00:00,CRD,10.5,0.5,0.5,2.2,0.0,13.7
3,2013000004,2013000004,VTS,2013-01-01 00:00:00,CRD,8.0,0.5,0.5,1.7,0.0,10.7
4,2013000005,2013000005,VTS,2013-01-01 00:00:00,CRD,14.5,0.5,0.5,4.65,0.0,20.15
5,2013000006,2013000006,VTS,2013-01-01 00:00:00,CSH,28.5,0.5,0.5,0.0,4.8,34.3
6,2013000007,2013000007,VTS,2013-01-01 00:00:00,CRD,9.0,0.5,0.5,1.9,0.0,11.9
7,2013000008,2013000008,VTS,2013-01-01 00:00:00,CSH,5.0,0.5,0.5,0.0,0.0,6.0
8,2013000009,2013000009,CMT,2013-01-01 00:00:00,CRD,4.0,0.5,0.5,1.0,0.0,6.0
9,2013000010,2013000010,VTS,2013-01-01 00:00:00,CSH,14.5,0.5,0.5,0.0,0.0,15.5
10,2013000011,2013000011,VTS,2013-01-01 00:00:00,CRD,23.0,0.5,0.5,4.7,0.0,28.7
11,2013000012,2013000012,VTS,2013-01-01 00:00:00,CRD,25.5,0.5,0.5,4.0,0.0,30.5
12,2013000013,2013000013,VTS,2013-01-01 00:00:00,CRD,13.0,0.5,0.5,3.0,0.0,17.0
13,2013000014,2013000014,VTS,2013-01-01 00:00:00,CRD,5.0,0.5,0.5,1.65,0.0,7.65
14,2013000015,2013000015,VTS,2013-01-01 00:00:00,CSH,6.0,0.5,0.5,0.0,0.0,7.0
15,2013000016,2013000016,VTS,2013-01-01 00:00:00,CRD,9.5,0.5,0.5,2.0,0.0,12.5
16,2013000017,2013000017,VTS,2013-01-01 00:00:00,CRD,7.0,0.5,0.5,1.88,0.0,9.88
17,2013000018,2013000018,VTS,2013-01-01 00:00:00,CRD,7.0,0.5,0.5,2.0,0.0,10.0
18,2013000019,2013000019,CMT,2013-01-01 00:00:00,NOC,16.5,0.5,0.5,0.0,0.0,17.5
19,2013000020,2013000020,VTS,2013-01-01 00:00:00,CSH,4.5,0.5,0.5,0.0,0.0,5.5
20,2013000021,2013000021,VTS,2013-01-01 00:00:00,CRD,8.0,0.5,0.5,1.7,0.0,10.7
21,2013000022,2013000022,VTS,2013-01-01 00:00:00,CRD,90.0,0.0,0.5,0.0,10.25,100.75
22,2013000023,2013000023,VTS,2013-01-01 00:00:00,CSH,11.5,0.5,0.5,0.0,0.0,12.5
23,2013000024,2013000024,VTS,2013-01-01 00:00:00,CRD,4.5,0.5,0.5,1.0,0.0,6.5
24,2013000025,2013000025,VTS,2013-01-01 00:00:00,CRD,9.0,0.5,0.5,1.9,0.0,11.9
25,2013000026,2013000026,VTS,2013-01-01 00:00:00,CRD,9.5,0.5,0.5,2.0,0.0,12.5
26,2013000027,2013000027,VTS,2013-01-01 00:00:00,CSH,9.0,0.5,0.5,0.0,0.0,10.0
27,2013000028,2013000028,VTS,2013-01-01 00:00:00,CSH,13.0,0.5,0.5,0.0,0.0,14.0
28,2013000029,2013000029,VTS,2013-01-01 00:00:00,CSH,6.5,0.5,0.5,0.0,0.0,7.5
29,2013000030,2013000030,VTS,2013-01-01 00:00:00,CSH,11.0,0.5,0.5,0.0,0.0,12.0
30,2013000031,2013000031,VTS,2013-01-01 00:00:00,CSH,19.5,0.5,0.5,0.0,0.0,20.5
31,2013000032,2013000032,VTS,2013-01-01 00:00:00,CSH,5.5,0.5,0.5,0.0,0.0,6.5
32,2013000033,2013000033,VTS,2013-01-01 00:00:00,CSH,12.0,0.5,0.5,0.0,0.0,13.0
33,2013000034,2013000034,VTS,2013-01-01 00:00:00,CSH,6.5,0.5,0.5,0.0,0.0,7.5
34,2013000035,2013000035,VTS,2013-01-01 00:00:00,CSH,4.5,0.5,0.5,0.0,0.0,5.5
35,2013000036,2013000036,VTS,2013-01-01 00:00:00,CRD,15.5,0.5,0.5,3.2,0.0,19.7
36,2013000037,2013000037,VTS,2013-01-01 00:00:00,CRD,14.0,0.5,0.5,2.0,0.0,17.0
37,2013000038,2013000038,VTS,2013-01-01 00:00:00,CSH,15.5,0.5,0.5,0.0,0.0,16.5
38,2013000039,2013000039,VTS,2013-01-01 00:00:00,CRD,15.0,0.5,0.5,3.0,0.0,19.0
39,2013000040,2013000040,VTS,2013-01-01 00:00:00,CSH,15.5,0.5,0.5,0.0,0.0,16.5
